id;name;description;created_by;created_date;last_modified_by;last_modified_date
31;Ohmage-omh App;A mobile application to deliver surveys.;system;2016-05-01 12:00:00.123;system;2016-05-01 12:00:00.123
32;PAM App;A mobile application for a Photographic Affect Meter.;system;2016-05-01 12:00:00.123;system;2016-05-01 12:00:00.123
33;Fitbit;An interface to the Fitbit API, which allows fetching of data collected from Fitbit devices.;system;2016-05-01 12:00:00.123;system;2016-05-01 12:00:00.123
34;Moves App;An interface to the Moves API, which allows fetching of data collected from the Moves mobile application.;system;2016-05-01 12:00:00.123;system;2016-05-01 12:00:00.123
